question,answer
¿Qué es el Censo?,"El Censo de los Estados Unidos crea una imagen de nuestro país. Es un conteo de población de cada persona que vive en los Estados Unidos, requerido por la Constitución y hecho cada 10 años."
¿Por qué es importante el Censo? ,"Los datos del censo determinan los recursos para la comunidad y definen nuestra voz en el gobierno durante los próximos 10 años. |Su participación ayudará a su comunidad a obtener su parte justa de recursos, servicios y representación. |El dinero es para escuelas, hospitales, carreteras, viviendas accesibles, guarderías de niños, centros para personas mayores, obras públicas y otras inversiones fundamentales para el bien de su comunidad."
¿Puedo realizar el Censo acompañado de una persona?,Sí. Puedes completar el censo con un tomador oficial y/o enumerador del Censo si llamas a uno de los números de la línea directa.| También puedes esperar hasta alrededor del 14 de agosto para que un encargado del censo visite tu casa para obtener tu respuestas en persona si aún no has respondido.
¿Puedo realizar el Censo con una persona? ,Sí. Puedes completar el censo con un tomador oficial y/o enumerador del Censo si llamas a uno de los números de la línea directa. También puedes esperar hasta alrededor del 14 de agosto para que un encargado del censo visite tu casa para obtener tu respuestas en persona si aún no has respondido.
¿Cuál es el número al que puedo llamar?,a. Estos son los números de teléfono de ayuda en idiomas especificados: Inglés 844-330-2020. Español: 844-468-2020. Chino (Mandarin): 844-391-2020. Chino (cantonés): 844-398-2020. Vietnamita: 844-461-2020.
¿Qué número puedo llamar para obtener ayuda en español?,Aquí está el número de teléfono de ayuda en español: 844-468-2020.
"Si no hablo inglés, ¿dónde puedo obtener ayuda?","Los cuestionarios en línea y por teléfono estarán disponibles en inglés y en otros 12 idiomas: español, chino (simplificado en línea, cantonés y mandarín por teléfono), árabe, francés, creole haitiano, japonés, coreano, polaco, portugués, ruso, tagalo y vietnamita."
¿El Censo está disponible en diferentes idiomas?,"Los cuestionarios en línea y telefónica estarán disponibles en inglés y en otros 12 idiomas: español, chino (simplificado en línea, cantonés y mandarín por teléfono), árabe, francés, criollo haitiano, japonés, coreano, polaco, portugués, ruso, tagalo y vietnamita."
"Si tengo más preguntas sobre el Censo y no quiero hablar con un personal de la Oficina del Censo o con alguien que trabaje para el gobierno, ¿hay un número de línea directa al que pueda llamar?","Sí. El Comité de Abogados para los Derechos Civiles bajo La Ley (""Comité de Abogados""), en asociación con el Instituto Arab-Americano, los Asiáticos Americanos que promueven la justicia AAJC, y NALEO Educational Fund, han lanzado líneas directas del Censo 2020 para las comunidades a las que sirven.| Los números telefónicos son: Comité de Abogados (Inglés): 888-268-6820. Instituto Arabamericano (inglés, árabe): 833-333-6864. Asiáticos americanos promoviendo la justicia (inglés, mandarín, cantonés, coreano, vietnamita, tagalo, urdu, hindi, bengalí): 844-202-0274."
¿Mis respuestas son confidenciales?,¡Sí! Sus respuestas individuales se mantienen confidenciales y aseguradas por 72 años. |La Oficina del Censo está recopilando respuestas censales con fines estadísticos que ayudarán a informar cómo se asignan más de $675 mil millones de dólares a las comunidades y representación política a todos los niveles.
"No he recibido ningún correo del censo, ¿puedo seguir completando el Censo?","Sí, puede completar el censo en línea en my2020census.gov o llamar a una de las líneas directas."
¿Puedo responder si perdí o nunca he recibido un ID único para el Censo?,"Sí, todavía puede responder. Si no conoce el ID único, debe incluir su dirección de casa en el formulario."
¿Puedo omitir preguntas?,"Es posible omitir una pregunta, y su formulario todavía se contará. Sin embargo, la Oficina del Censo podría hacer un seguimiento si omite preguntas en el formulario para pedir la información que falta.| Podrían ponerse en contacto con usted por teléfono o enviando un Censo a su casa. Cuantas menos preguntas se omita, menos probable es que la Oficina del Censo haga un seguimiento."
"Recibí una encuesta por correo. Creo que es el Censo, pero no lo sé. ¿Debo hacer el censo?",¡Sí! Puedes hacer el censo en línea o por teléfono de nuevo si no te acuerdas. La Oficina del Censo tiene un proceso interno para evitar contar a los residentes de un solo hogar más de una vez.| Los duplicados del mismo hogar se descartan.
¿Qué pasa si estuve fuera de mi residencia el 1 de abril de 2020?,"Incluso si usted está fuera de su casa el 1 de abril, usted cuenta en la dirección donde vive y duerme la mayor parte del año."
¿Qué sucede si estuve fuera de mi residencia el 1 de abril de 2020?,"Incluso si usted está fuera de su casa el 1 de abril, usted cuenta en la dirección donde vive y duerme la mayor parte del año."
